stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\roger\Desktop\dev\vfxland5_starling\games\darkblue\vfxland5_01\bin\allegro5.cfg r
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00046] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.07769] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.07776] Using desktop window: 00010010
audio    I              audio.c:391  do_install_audio                 [   0.07785] Using DirectSound driver
audio-dsound D           dsound.cpp:322  _dsound_allocate_voice           [   0.07788] Allocating voice
audio-dsound D           dsound.cpp:381  _dsound_allocate_voice           [   0.07790] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.07792] added dtor for voice 14000558, func 6985e8be
dtor     D               dtor.c:196  _al_register_destructor          [   0.07794] added dtor for mixer 14007628, func 6985a5aa
audio-dsound D           dsound.cpp:477  _dsound_start_voice              [   0.07795] Starting voice
audio-dsound D           dsound.cpp:505  _dsound_start_voice              [   0.07797] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.07963] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.07969] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.07977] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.07979] added dtor for sample_instance 14007958, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07982] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07984] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07985] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07987] added dtor for sample_instance 14007738, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08002] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08005] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08007] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08009] added dtor for sample_instance 14007828, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08011] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08012] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08014] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08015] added dtor for sample_instance 14015488, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08017] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08018] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08020] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08021] added dtor for sample_instance 140155e0, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08023] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08024] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08026] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08028] added dtor for sample_instance 140156d0, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08030] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08031] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08032] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08034] added dtor for sample_instance 140157c0, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08035] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08037] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08038] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08040] added dtor for sample_instance 140158b0, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08041] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08043] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08044] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08046] added dtor for sample_instance 14015a68, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08047] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08049] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08050] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08052] added dtor for sample_instance 14015b58, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08053] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08055] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08056] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08058] added dtor for sample_instance 14015c48, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08059] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08061] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08062] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08064] added dtor for sample_instance 14015d38, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08065] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08067] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08068] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08070] added dtor for sample_instance 14015e28, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08071] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08073] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08074] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08075] added dtor for sample_instance 14015f18, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08077] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08078] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08080] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08081] added dtor for sample_instance 14016008, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08083] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08084] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08086] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08088] added dtor for sample_instance 140160f8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08089] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08091] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08092] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08094] added dtor for sample_instance 14016370, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08095] sample matrix:
